JD,Magnitude
2417798.405,3.72
2417799.435,3.96
2417804.392,4.42
2417807.465,4.4
2417815.401,4.25
2417816.428,4.23
2417816.472,4.47
2417818.422,4.58
2417819.419,4.08
2417823.365,4.38
2417827.395,3.96
2417828.351,4.08
2417829.36,4.08
2417830.423,4.38
2417837.389,4.2
2417839.34,4.55
2417843.336,4.24
2417844.358,4.38
2417845.403,4.38
2417846.355,4.71
2417853.36,4.51
2417861.378,4.5
2417863.412,3.98
2417881.328,4.53
2417882.337,4.44
2417884.298,3.92
2417888.23,4.4
2417891.225,4.08
2417902.226,4.54
2417910.232,4.5
2417916.235,4.23
2417919.225,4.4
2417920.205,4.08
2417926.207,4.47
2417934.196,4.3
2417938.223,4.3
2418056.569,3.37
2418061.574,4.54
2420386.7,4.6
2420389.6,4.2
2420390.6,4.1
2420391.6,4.0
2420392.7,4.2
2420394.6,4.5
2420395.6,4.2
2420399.6,4.4
2420400.7,4.4
2420402.7,4.1
2420403.6,4.1
2420407.6,4.1
2420411.6,4.0
2420412.6,4.3
2420413.6,4.6
2420415.6,4.3
2420416.6,4.1
2420417.6,4.0
2420418.6,4.2
2420419.6,4.2
2420420.6,4.4
2420421.6,4.5
2420422.6,4.5
2420423.6,4.8
2420424.7,4.2
2420427.7,4.1
2420428.6,4.5
2420429.6,4.5
2420430.6,4.5
2420431.6,4.2
2420432.6,3.8
2420433.6,4.0
2420434.6,3.6
2420436.6,3.6
2420439.6,3.7
2420440.6,3.7
2420441.6,4.2
2420442.6,4.2
2420443.6,4.6
2420444.6,4.6
2420445.6,4.2
2420449.6,4.4
2420450.6,4.4
2420451.6,4.3
2420452.6,4.2
2420453.6,4.1
2420454.6,4.0
2420455.6,4.2
2420456.6,4.4
2420457.6,4.6
2420458.6,4.6
2420459.6,4.9
2420460.6,4.1
2420473.6,4.6
2420474.6,4.2
2420476.6,4.3
2420477.6,4.4
2420479.6,4.5
2420480.6,4.7
2420481.6,4.2
2420633.9,4.1
2420639.9,3.7
2420661.9,4.0
2420664.7,4.1
2420665.7,4.1
2420666.7,4.0
2420667.7,4.2
2420671.9,4.5
2420681.7,4.5
2420682.7,4.0
2420683.7,3.9
2420684.7,4.1
2420684.9,4.2
2420686.7,4.0
2420686.9,4.2
2420687.7,4.4
2420689.7,4.1
2420690.7,3.9
2420690.9,4.0
2420691.7,4.1
2420692.7,4.2
2420693.7,4.4
2420694.7,4.3
2420697.7,4.1
2420699.7,4.0
2420701.7,4.6
2420706.7,3.8
2420707.7,4.1
2420709.7,4.6
2420710.7,4.3
2420716.7,4.7
2420717.7,4.4
2420718.7,4.0
2420719.7,3.8
2420720.7,4.0
2420720.9,4.2
2420721.7,4.2
2420722.7,4.4
2420723.7,4.4
2420724.7,4.5
2420725.7,4.2
2420726.7,3.7
2420727.7,4.1
2420727.9,4.4
2420728.7,4.3
2420728.9,4.1
2420729.7,4.1
2420734.7,4.0
2420735.7,3.9
2420736.7,4.3
2420738.7,4.8
2420739.7,4.6
2420740.7,3.6
2420741.6,3.8
2420744.7,4.2
2420745.7,4.8
2420746.7,4.3
2420747.7,3.9
2420748.6,3.9
2420749.7,3.8
2420750.7,4.2
2420752.6,4.5
2420753.7,4.6
2420755.7,4.0
2420756.7,3.9
2420757.7,3.8
2420758.7,4.5
2421406.59,4.2
2421407.4,3.7
2421407.42,4.0
2421408.52,3.6
2421409.53,3.7
2421411.39,3.7
2421414.39,3.8
2421416.38,3.7
2421417.44,4.0
2421418.36,3.9
2421418.38,3.8
2421420.45,4.1
2421422.42,3.6
2421423.59,3.7
2421425.37,3.9
2421427.39,4.1
2421428.57,4.2
2421429.42,3.6
2421430.38,3.7
2421431.58,3.9
2421432.43,4.0
2421433.39,4.1
2421434.42,4.1
2421435.41,4.2
2421437.54,3.7
2421445.34,3.8
2421449.4,4.1
2421450.4,3.8
2421453.37,3.7
2421455.32,4.0
2421457.3,3.4
2421462.4,4.4
2421463.4,4.4
2421464.37,4.0
2421469.3,4.0
2421471.33,4.0
2421474.3,3.9
2421475.3,4.1
2421476.3,4.4
2421476.35,4.0
2421477.3,3.9
2421477.33,4.2
2421478.31,4.1
2421481.31,3.9
2421482.39,3.8
2421483.34,4.0
2421486.3,3.9
2421486.32,3.9
2421487.32,3.4
2421488.32,3.7
2421489.3,3.8
