1,JD,Magnitude
1305,2411063.0,3.4
1306,2411076.0,4.2
1309,2411083.0,4.3
1310,2411084.0,3.5
1313,2411090.0,3.5
1314,2411096.0,3.5
1315,2411102.0,3.65
1316,2411124.0,3.6
1317,2411125.0,4.2
1318,2411126.0,4.25
1319,2411127.0,4.05
1320,2411128.0,3.45
1321,2411129.0,3.9
1322,2411130.0,3.93
1323,2411131.0,4.05
1324,2411132.0,3.45
1325,2411135.0,4.08
1326,2411136.0,4.2
1327,2411144.0,3.63
1328,2411145.0,3.85
1331,2411147.0,4.1
1334,2411149.0,3.45
1337,2411151.0,3.8
1340,2411154.0,3.4
1343,2411157.0,3.96
1344,2411159.0,3.36
1345,2411160.0,3.6
1348,2411171.0,3.55
1349,2411172.0,3.85
1350,2411173.0,4.0
1351,2411174.0,4.05
1352,2411175.0,3.65
1355,2411178.0,4.04
1356,2411179.0,4.1
1361,2411182.0,3.75
1362,2411187.0,3.8
1363,2411188.0,3.87
1364,2411189.0,4.05
1367,2411191.0,4.1
1368,2411192.0,3.63
1369,2411193.0,3.9
1370,2411194.0,4.0
1371,2411195.0,4.05
1374,2411203.0,3.4
1375,2411205.0,4.05
1376,2411207.0,3.7
1377,2411208.0,3.6
1378,2411209.0,3.9
1379,2411210.0,4.0
1380,2411212.0,3.9
1381,2411214.0,3.7
1386,2411217.0,4.1
1391,2411221.0,4.0
1392,2411222.0,4.1
1395,2411225.0,3.85
1396,2411232.0,4.25
1397,2411234.0,3.5
1398,2411235.0,3.55
1399,2411245.0,3.45
1400,2411257.0,3.6
1401,2411263.0,3.85
1402,2411264.0,4.0
1403,2411266.0,3.64
1404,2411267.0,3.53
1407,2411269.0,4.0
1408,2411271.0,4.05
1409,2411280.0,4.05
1410,2411282.0,3.8
1411,2411283.0,3.35
1412,2411284.0,3.4
1417,2411289.0,3.58
1418,2411290.0,3.85
1419,2411291.0,3.96
1423,2411293.0,4.1
1424,2411294.0,3.6
1427,2411296.0,3.85
1428,2411297.0,4.2
1429,2411299.0,4.25
1430,2411301.0,3.9
1431,2411302.0,4.0
1434,2411306.0,3.8
1438,2411308.0,4.1
1441,2411311.0,3.8
1444,2411315.0,3.35
1459,2411326.0,3.45
1460,2411327.0,3.65
1470,2411332.0,3.65
1471,2411333.0,3.8
1472,2411334.0,4.03
1473,2411337.0,3.63
1474,2411340.0,4.2
1479,2411350.0,4.05
1486,2411365.0,3.95
1487,2411367.0,4.25
1488,2411369.0,3.5
1489,2411370.0,3.67
1494,2411377.0,4.1
1495,2411380.0,3.55
1500,2411386.0,3.65
1503,2411388.0,4.15
1506,2411390.0,3.5
1507,2411392.0,3.8
1508,2411393.0,4.07
1509,2411395.0,3.63
1510,2411397.0,3.8
1513,2411400.0,4.05
1514,2411401.0,3.5
1515,2411404.0,4.1
1518,2411407.0,3.55
1519,2411408.0,3.7
1522,2411410.0,4.15
